system,logSize,noiseType,noiseLevel,iteration
RTFMS,10000,ABSENCE,0.1,1
RTFMS,4000,MIXED,0.1,1
Sepsis,4000,ORDERING,4.0,3
BPIC2012,40000,ORDERING,2.0,4
RTFMS,20000,MIXED,2.0,1
RTFMS,2000,SUBSTITUTION,2.0,4
Sepsis,10000,SUBSTITUTION,2.0,4
Sepsis,100000,ORDERING,1.0,2
Sepsis,4000,ORDERING,0.1,3
Sepsis,2000,MIXED,1.0,4
BPIC2012,100000,ORDERING,2.0,5
RTFMS,2000,ABSENCE,0.2,4
Sepsis,40000,ORDERING,4.0,5
BPIC2012,20000,ABSENCE,2.0,5
RTFMS,4000,SUBSTITUTION,4.0,3
BPIC2012,2000,ABSENCE,0.4,3
RTFMS,1000,INSERTION,0.1,3
Sepsis,10000,MIXED,10.0,4
Sepsis,10000,MIXED,0.2,5
RTFMS,10000,SUBSTITUTION,0.1,1
RTFMS,1000,ABSENCE,0.1,5
Sepsis,10000,ABSENCE,0.1,2
BPIC2012,40000,ABSENCE,2.0,1
Sepsis,40000,ORDERING,10.0,1
BPIC2012,40000,MIXED,1.0,5
BPIC2012,40000,SUBSTITUTION,10.0,5
Sepsis,40000,MIXED,0.2,4
Sepsis,100000,ORDERING,2.0,5
Sepsis,40000,INSERTION,0.2,2
BPIC2012,1000,SUBSTITUTION,0.1,2
Sepsis,40000,MIXED,0.1,4
Sepsis,10000,ORDERING,2.0,5
RTFMS,40000,SUBSTITUTION,1.0,2
RTFMS,2000,ORDERING,0.2,3
Sepsis,1000,SUBSTITUTION,2.0,1
BPIC2012,20000,ORDERING,0.2,4
RTFMS,20000,INSERTION,4.0,1
RTFMS,4000,SUBSTITUTION,1.0,5
Sepsis,40000,ABSENCE,10.0,3
RTFMS,20000,ABSENCE,0.4,4
Sepsis,1000,ORDERING,4.0,3
RTFMS,40000,ABSENCE,0.4,3
BPIC2012,10000,SUBSTITUTION,4.0,4
Sepsis,20000,MIXED,2.0,5
Sepsis,20000,INSERTION,10.0,1
BPIC2012,100000,SUBSTITUTION,0.4,4
BPIC2012,1000,SUBSTITUTION,0.2,4
Sepsis,10000,MIXED,2.0,4
RTFMS,100000,MIXED,0.1,5
RTFMS,10000,ABSENCE,0.2,1
RTFMS,10000,MIXED,1.0,2
BPIC2012,2000,MIXED,0.2,2
RTFMS,10000,ABSENCE,0.1,4
RTFMS,4000,MIXED,1.0,1
RTFMS,10000,MIXED,4.0,1
Sepsis,40000,INSERTION,0.4,2
RTFMS,1000,SUBSTITUTION,2.0,2
RTFMS,10000,MIXED,10.0,1
RTFMS,2000,ABSENCE,10.0,3
Sepsis,20000,ABSENCE,1.0,5
RTFMS,10000,INSERTION,2.0,4
RTFMS,4000,SUBSTITUTION,10.0,3
RTFMS,1000,INSERTION,0.4,5
Sepsis,2000,INSERTION,4.0,3
RTFMS,100000,ORDERING,1.0,1
BPIC2012,4000,SUBSTITUTION,2.0,5
Sepsis,2000,ORDERING,0.4,2
Sepsis,100000,SUBSTITUTION,4.0,2
BPIC2012,100000,ORDERING,0.1,5
RTFMS,10000,MIXED,0.2,4
BPIC2012,40000,ORDERING,4.0,1
Sepsis,10000,ORDERING,2.0,2
RTFMS,20000,ORDERING,4.0,5
BPIC2012,4000,INSERTION,4.0,5
RTFMS,1000,ORDERING,0.1,1
Sepsis,10000,MIXED,0.2,4
Sepsis,10000,SUBSTITUTION,0.2,3
Sepsis,4000,MIXED,0.2,4
RTFMS,1000,MIXED,2.0,4
Sepsis,4000,MIXED,1.0,2
RTFMS,100000,ORDERING,0.1,3
Sepsis,4000,ABSENCE,4.0,2
Sepsis,10000,MIXED,4.0,2
Sepsis,100000,SUBSTITUTION,2.0,4
BPIC2012,40000,INSERTION,1.0,2
BPIC2012,10000,INSERTION,10.0,2
BPIC2012,100000,INSERTION,4.0,4
BPIC2012,20000,ABSENCE,4.0,4
Sepsis,20000,INSERTION,0.4,1
RTFMS,1000,ABSENCE,4.0,3
Sepsis,40000,MIXED,0.1,5
RTFMS,4000,SUBSTITUTION,0.1,5
RTFMS,2000,SUBSTITUTION,0.2,2
BPIC2012,40000,ABSENCE,2.0,2
Sepsis,20000,MIXED,10.0,1
Sepsis,4000,ORDERING,4.0,2
Sepsis,40000,ORDERING,2.0,2
BPIC2012,10000,SUBSTITUTION,10.0,2
RTFMS,2000,ABSENCE,1.0,2
Sepsis,40000,SUBSTITUTION,2.0,1
BPIC2012,1000,SUBSTITUTION,4.0,1
Sepsis,40000,SUBSTITUTION,0.4,5
BPIC2012,40000,SUBSTITUTION,1.0,5
RTFMS,40000,ABSENCE,1.0,3
BPIC2012,20000,SUBSTITUTION,4.0,2
Sepsis,100000,SUBSTITUTION,10.0,2
RTFMS,20000,SUBSTITUTION,0.4,1
Sepsis,2000,ORDERING,2.0,5
RTFMS,40000,ORDERING,0.2,2
BPIC2012,4000,INSERTION,0.1,5
RTFMS,2000,SUBSTITUTION,0.4,1
RTFMS,1000,ORDERING,0.4,1
RTFMS,20000,ORDERING,10.0,5
RTFMS,10000,MIXED,4.0,2
RTFMS,2000,ORDERING,1.0,2
Sepsis,100000,MIXED,1.0,1
BPIC2012,20000,ABSENCE,0.1,1
Sepsis,1000,ORDERING,0.4,3
RTFMS,20000,ORDERING,2.0,2
RTFMS,4000,INSERTION,10.0,2
BPIC2012,20000,ORDERING,2.0,5
RTFMS,40000,ABSENCE,1.0,5
BPIC2012,20000,INSERTION,0.2,1
BPIC2012,20000,INSERTION,4.0,1
Sepsis,40000,ABSENCE,2.0,3
BPIC2012,4000,SUBSTITUTION,0.1,2
Sepsis,100000,MIXED,4.0,4
BPIC2012,2000,MIXED,10.0,4
RTFMS,1000,ORDERING,10.0,2
BPIC2012,10000,MIXED,4.0,3
RTFMS,2000,INSERTION,1.0,4
BPIC2012,2000,ORDERING,0.2,4
BPIC2012,40000,ORDERING,4.0,3
BPIC2012,1000,ORDERING,0.1,2
RTFMS,20000,MIXED,0.2,4
BPIC2012,40000,SUBSTITUTION,1.0,3
Sepsis,2000,INSERTION,0.2,1
RTFMS,1000,ABSENCE,0.4,1
RTFMS,20000,ABSENCE,0.2,3
RTFMS,4000,INSERTION,1.0,2
Sepsis,1000,INSERTION,0.1,4
RTFMS,40000,ABSENCE,0.1,3
RTFMS,20000,INSERTION,1.0,1
BPIC2012,10000,SUBSTITUTION,0.1,5
RTFMS,20000,SUBSTITUTION,0.1,3
Sepsis,20000,SUBSTITUTION,10.0,3
BPIC2012,100000,MIXED,0.1,4
RTFMS,20000,MIXED,1.0,1
RTFMS,40000,MIXED,1.0,2
Sepsis,20000,MIXED,1.0,5
BPIC2012,2000,SUBSTITUTION,10.0,4
RTFMS,2000,MIXED,1.0,1
Sepsis,40000,ABSENCE,1.0,3
RTFMS,40000,SUBSTITUTION,2.0,5
BPIC2012,2000,MIXED,10.0,5
BPIC2012,2000,ABSENCE,2.0,1
BPIC2012,10000,SUBSTITUTION,4.0,1
RTFMS,100000,MIXED,2.0,3
BPIC2012,10000,MIXED,2.0,2
BPIC2012,100000,ABSENCE,0.4,1
Sepsis,1000,MIXED,4.0,3
Sepsis,10000,ORDERING,4.0,3
BPIC2012,40000,SUBSTITUTION,10.0,2
RTFMS,40000,MIXED,0.2,1
Sepsis,100000,INSERTION,4.0,1
BPIC2012,40000,MIXED,4.0,3
Sepsis,100000,SUBSTITUTION,2.0,2
Sepsis,20000,INSERTION,0.2,5
RTFMS,40000,ABSENCE,10.0,5
RTFMS,10000,ABSENCE,4.0,1
BPIC2012,40000,ABSENCE,10.0,4
RTFMS,40000,SUBSTITUTION,10.0,4
RTFMS,40000,ORDERING,4.0,2
Sepsis,4000,SUBSTITUTION,0.4,1
RTFMS,100000,SUBSTITUTION,10.0,5
BPIC2012,2000,SUBSTITUTION,2.0,5
BPIC2012,1000,ABSENCE,0.1,2
Sepsis,1000,SUBSTITUTION,10.0,3
BPIC2012,10000,MIXED,1.0,1
BPIC2012,40000,INSERTION,0.2,3
Sepsis,10000,ABSENCE,4.0,1
RTFMS,10000,SUBSTITUTION,4.0,3
BPIC2012,4000,SUBSTITUTION,0.2,4
Sepsis,20000,ABSENCE,2.0,3
BPIC2012,40000,ABSENCE,1.0,4
BPIC2012,1000,ORDERING,0.2,1
RTFMS,4000,ORDERING,10.0,2
RTFMS,20000,INSERTION,4.0,4
RTFMS,10000,ABSENCE,0.4,1
RTFMS,10000,INSERTION,4.0,3
BPIC2012,40000,SUBSTITUTION,0.2,1
BPIC2012,1000,MIXED,0.4,3
Sepsis,40000,SUBSTITUTION,0.1,5
BPIC2012,4000,SUBSTITUTION,0.1,1
BPIC2012,1000,ABSENCE,0.2,5
Sepsis,20000,INSERTION,1.0,4
RTFMS,4000,SUBSTITUTION,0.2,1
Sepsis,4000,ORDERING,10.0,1
RTFMS,100000,INSERTION,0.2,5
BPIC2012,1000,ABSENCE,10.0,2
BPIC2012,100000,ABSENCE,2.0,4
RTFMS,10000,INSERTION,2.0,2
BPIC2012,2000,ORDERING,4.0,4
RTFMS,1000,MIXED,2.0,3
BPIC2012,4000,ABSENCE,2.0,2
RTFMS,100000,SUBSTITUTION,0.2,5
RTFMS,20000,ABSENCE,4.0,5
BPIC2012,20000,ABSENCE,0.2,3
BPIC2012,10000,MIXED,0.4,1
Sepsis,2000,SUBSTITUTION,4.0,4
BPIC2012,1000,MIXED,1.0,5
BPIC2012,2000,ABSENCE,2.0,3
BPIC2012,40000,ORDERING,0.4,2
RTFMS,20000,INSERTION,0.4,3
Sepsis,20000,ABSENCE,10.0,3
RTFMS,100000,ORDERING,1.0,4
BPIC2012,40000,ABSENCE,0.4,5
Sepsis,4000,ABSENCE,0.2,5
RTFMS,100000,MIXED,10.0,5
RTFMS,2000,ORDERING,10.0,2
BPIC2012,100000,SUBSTITUTION,4.0,4
Sepsis,20000,SUBSTITUTION,0.4,5
Sepsis,40000,ORDERING,4.0,1
RTFMS,10000,ABSENCE,0.4,4
BPIC2012,20000,MIXED,2.0,2
Sepsis,2000,ABSENCE,1.0,1
RTFMS,20000,SUBSTITUTION,1.0,3
Sepsis,1000,ORDERING,2.0,2
RTFMS,100000,MIXED,4.0,4
BPIC2012,2000,SUBSTITUTION,0.1,2
BPIC2012,10000,MIXED,10.0,2
RTFMS,100000,SUBSTITUTION,1.0,1
RTFMS,20000,SUBSTITUTION,0.1,4
RTFMS,1000,ORDERING,1.0,4
RTFMS,2000,SUBSTITUTION,4.0,2
Sepsis,2000,SUBSTITUTION,10.0,4
RTFMS,2000,INSERTION,0.1,3
Sepsis,10000,ORDERING,0.1,5
Sepsis,100000,SUBSTITUTION,4.0,1
Sepsis,40000,ABSENCE,0.1,4
Sepsis,40000,SUBSTITUTION,10.0,2
Sepsis,1000,ORDERING,10.0,1
BPIC2012,2000,ORDERING,1.0,2
BPIC2012,40000,ORDERING,4.0,4
Sepsis,40000,ORDERING,0.1,3
BPIC2012,100000,MIXED,1.0,1
Sepsis,2000,INSERTION,0.1,2
Sepsis,100000,MIXED,2.0,5
BPIC2012,1000,SUBSTITUTION,1.0,4
Sepsis,10000,ORDERING,10.0,1
BPIC2012,1000,INSERTION,1.0,2
Sepsis,2000,SUBSTITUTION,0.2,2
RTFMS,1000,ABSENCE,0.2,5
BPIC2012,2000,INSERTION,1.0,3
Sepsis,4000,ORDERING,10.0,4
Sepsis,100000,INSERTION,2.0,2
Sepsis,2000,MIXED,1.0,1
BPIC2012,40000,SUBSTITUTION,0.1,4
Sepsis,40000,MIXED,10.0,3
BPIC2012,10000,INSERTION,2.0,5
Sepsis,1000,MIXED,10.0,3
Sepsis,4000,MIXED,4.0,2
BPIC2012,1000,MIXED,1.0,1
BPIC2012,10000,MIXED,1.0,5
RTFMS,2000,INSERTION,0.2,5
BPIC2012,10000,ORDERING,2.0,5
RTFMS,20000,SUBSTITUTION,0.2,4
Sepsis,2000,ABSENCE,0.4,3
RTFMS,20000,INSERTION,1.0,2
BPIC2012,4000,INSERTION,0.4,5
Sepsis,2000,INSERTION,2.0,4
Sepsis,10000,ABSENCE,4.0,4
Sepsis,100000,ABSENCE,0.2,2
Sepsis,10000,ABSENCE,0.4,5
Sepsis,1000,MIXED,4.0,1
BPIC2012,20000,ORDERING,1.0,5
Sepsis,40000,INSERTION,10.0,2
Sepsis,2000,MIXED,0.2,5
BPIC2012,4000,INSERTION,0.4,1
Sepsis,1000,MIXED,1.0,4
Sepsis,4000,SUBSTITUTION,0.1,5
Sepsis,1000,ABSENCE,0.1,4
Sepsis,100000,ORDERING,10.0,1
BPIC2012,4000,MIXED,0.4,3
Sepsis,1000,SUBSTITUTION,0.1,3
RTFMS,1000,ABSENCE,10.0,4
BPIC2012,1000,ABSENCE,2.0,3
RTFMS,40000,ORDERING,2.0,2
BPIC2012,100000,MIXED,4.0,3
BPIC2012,10000,MIXED,0.4,4
Sepsis,40000,INSERTION,2.0,3
RTFMS,1000,SUBSTITUTION,10.0,3
Sepsis,20000,ORDERING,0.4,2
RTFMS,4000,MIXED,2.0,3
RTFMS,10000,INSERTION,1.0,4
Sepsis,4000,MIXED,0.4,4
Sepsis,10000,ORDERING,10.0,3
Sepsis,10000,MIXED,10.0,5
RTFMS,2000,ABSENCE,0.1,1
RTFMS,2000,ABSENCE,0.2,1
RTFMS,10000,SUBSTITUTION,0.4,3
BPIC2012,1000,SUBSTITUTION,10.0,2
Sepsis,100000,SUBSTITUTION,2.0,3
Sepsis,10000,INSERTION,1.0,2
RTFMS,4000,ABSENCE,0.2,3
Sepsis,1000,INSERTION,10.0,1
Sepsis,1000,ABSENCE,10.0,1
Sepsis,20000,INSERTION,1.0,2
Sepsis,20000,ABSENCE,4.0,5
RTFMS,40000,ORDERING,0.4,3
RTFMS,100000,INSERTION,10.0,1
BPIC2012,100000,SUBSTITUTION,10.0,5
Sepsis,100000,MIXED,0.1,5
BPIC2012,1000,ABSENCE,0.2,2
BPIC2012,40000,ABSENCE,10.0,5
RTFMS,20000,SUBSTITUTION,2.0,1
BPIC2012,4000,SUBSTITUTION,4.0,4
RTFMS,100000,INSERTION,2.0,3
Sepsis,10000,ABSENCE,0.2,4
RTFMS,2000,ORDERING,0.2,5
RTFMS,2000,INSERTION,10.0,1
RTFMS,40000,ABSENCE,4.0,1
BPIC2012,4000,MIXED,1.0,3
RTFMS,100000,MIXED,10.0,4
BPIC2012,20000,ORDERING,4.0,3
Sepsis,10000,MIXED,2.0,2
Sepsis,2000,INSERTION,2.0,3
RTFMS,100000,ORDERING,0.4,5
RTFMS,20000,MIXED,10.0,1
Sepsis,1000,SUBSTITUTION,4.0,1
RTFMS,100000,INSERTION,0.4,2
BPIC2012,4000,SUBSTITUTION,0.4,4
RTFMS,1000,ORDERING,0.1,5
Sepsis,10000,INSERTION,4.0,3
Sepsis,4000,SUBSTITUTION,10.0,5
Sepsis,1000,INSERTION,4.0,1
RTFMS,2000,INSERTION,0.4,4
RTFMS,1000,SUBSTITUTION,0.2,2
RTFMS,1000,SUBSTITUTION,4.0,3
BPIC2012,10000,SUBSTITUTION,0.2,4
Sepsis,40000,ORDERING,0.4,3
RTFMS,100000,MIXED,0.2,2
RTFMS,100000,SUBSTITUTION,0.2,3
BPIC2012,10000,ABSENCE,0.4,2
RTFMS,20000,ORDERING,0.2,5
BPIC2012,2000,ORDERING,2.0,1
BPIC2012,2000,INSERTION,4.0,2
RTFMS,40000,SUBSTITUTION,0.4,5
Sepsis,40000,MIXED,0.1,1
RTFMS,20000,INSERTION,1.0,4
BPIC2012,1000,ORDERING,2.0,4
BPIC2012,1000,SUBSTITUTION,0.2,3
BPIC2012,20000,INSERTION,4.0,2
Sepsis,10000,ORDERING,0.2,2
RTFMS,2000,SUBSTITUTION,0.2,1
BPIC2012,10000,SUBSTITUTION,0.4,1
Sepsis,100000,MIXED,0.1,1
Sepsis,1000,INSERTION,4.0,4
Sepsis,4000,ORDERING,0.4,5
Sepsis,2000,ORDERING,0.1,3
RTFMS,100000,MIXED,2.0,2
RTFMS,2000,ABSENCE,2.0,2
BPIC2012,40000,MIXED,0.2,3
BPIC2012,20000,ABSENCE,10.0,5
BPIC2012,40000,MIXED,4.0,5
RTFMS,20000,MIXED,10.0,5
Sepsis,1000,ORDERING,10.0,2
Sepsis,10000,ABSENCE,10.0,2
BPIC2012,40000,SUBSTITUTION,0.2,4
Sepsis,2000,ORDERING,0.2,5
BPIC2012,4000,SUBSTITUTION,0.2,1
Sepsis,40000,ORDERING,0.4,5
Sepsis,10000,MIXED,4.0,3
BPIC2012,10000,INSERTION,0.1,5
Sepsis,100000,INSERTION,1.0,4
BPIC2012,1000,INSERTION,10.0,3
RTFMS,10000,ABSENCE,2.0,3
RTFMS,40000,SUBSTITUTION,0.2,1
BPIC2012,20000,ABSENCE,4.0,5
RTFMS,100000,ORDERING,10.0,4
BPIC2012,1000,ORDERING,1.0,3
RTFMS,2000,MIXED,4.0,3
BPIC2012,20000,MIXED,4.0,5
RTFMS,20000,ORDERING,0.1,3
BPIC2012,20000,SUBSTITUTION,4.0,3
BPIC2012,2000,MIXED,0.4,5
BPIC2012,20000,INSERTION,2.0,4
Sepsis,1000,INSERTION,0.1,3
RTFMS,20000,ABSENCE,0.4,2
BPIC2012,10000,MIXED,0.1,4
RTFMS,100000,INSERTION,2.0,1
BPIC2012,4000,INSERTION,0.2,1
BPIC2012,4000,SUBSTITUTION,0.4,5
Sepsis,1000,MIXED,1.0,3
Sepsis,4000,MIXED,0.1,3
Sepsis,4000,MIXED,2.0,3
RTFMS,1000,ABSENCE,1.0,4
Sepsis,100000,ABSENCE,0.2,5
Sepsis,40000,INSERTION,10.0,1
BPIC2012,100000,INSERTION,0.2,3
BPIC2012,100000,ABSENCE,0.4,4
Sepsis,2000,MIXED,0.2,3
BPIC2012,1000,INSERTION,0.4,4
Sepsis,40000,INSERTION,2.0,1
RTFMS,10000,INSERTION,10.0,5
BPIC2012,20000,MIXED,0.4,3
Sepsis,40000,MIXED,10.0,2
RTFMS,4000,ABSENCE,0.4,3
Sepsis,2000,ABSENCE,1.0,4
Sepsis,10000,ABSENCE,2.0,5
BPIC2012,4000,ORDERING,4.0,2
BPIC2012,10000,ORDERING,0.1,5
Sepsis,10000,ABSENCE,0.4,3
RTFMS,4000,ORDERING,4.0,1
Sepsis,2000,SUBSTITUTION,0.2,5
BPIC2012,4000,ORDERING,0.4,5
RTFMS,20000,ORDERING,4.0,2
RTFMS,100000,ABSENCE,0.4,4
RTFMS,40000,INSERTION,4.0,3
RTFMS,20000,SUBSTITUTION,1.0,2
Sepsis,20000,ABSENCE,0.1,3
RTFMS,2000,MIXED,4.0,2
BPIC2012,100000,MIXED,0.2,2
RTFMS,4000,MIXED,2.0,2
RTFMS,40000,INSERTION,4.0,5
Sepsis,40000,SUBSTITUTION,1.0,5
RTFMS,10000,SUBSTITUTION,2.0,2
Sepsis,1000,SUBSTITUTION,1.0,5
Sepsis,40000,ABSENCE,0.1,2
BPIC2012,40000,ORDERING,4.0,2
BPIC2012,20000,SUBSTITUTION,0.2,1
BPIC2012,10000,INSERTION,2.0,4
Sepsis,1000,MIXED,1.0,1
BPIC2012,10000,MIXED,0.4,3
Sepsis,20000,ORDERING,2.0,3
BPIC2012,20000,ABSENCE,4.0,1
RTFMS,1000,MIXED,0.4,2
Sepsis,40000,SUBSTITUTION,2.0,5
RTFMS,20000,ORDERING,0.1,4
BPIC2012,4000,INSERTION,10.0,2
RTFMS,100000,INSERTION,0.1,2
BPIC2012,40000,ORDERING,2.0,2
BPIC2012,2000,ABSENCE,0.1,5
Sepsis,4000,SUBSTITUTION,4.0,3
Sepsis,10000,ABSENCE,2.0,3
RTFMS,2000,SUBSTITUTION,0.2,4
RTFMS,10000,ORDERING,1.0,1
BPIC2012,4000,INSERTION,2.0,2
RTFMS,1000,ABSENCE,0.4,5
BPIC2012,20000,INSERTION,1.0,4
RTFMS,1000,INSERTION,10.0,3
RTFMS,4000,INSERTION,1.0,5
RTFMS,4000,ORDERING,0.2,1
Sepsis,40000,INSERTION,0.4,3
RTFMS,40000,ORDERING,4.0,4
Sepsis,20000,MIXED,0.4,2
BPIC2012,20000,INSERTION,0.1,2
RTFMS,40000,INSERTION,10.0,1
RTFMS,40000,SUBSTITUTION,4.0,3
RTFMS,10000,MIXED,2.0,4
Sepsis,1000,MIXED,0.4,5
RTFMS,100000,ORDERING,0.4,2
BPIC2012,2000,ORDERING,0.1,3
BPIC2012,40000,ORDERING,0.1,5
RTFMS,40000,SUBSTITUTION,4.0,2
RTFMS,2000,ORDERING,0.1,5
RTFMS,40000,ABSENCE,10.0,2
RTFMS,4000,ORDERING,2.0,5
RTFMS,20000,INSERTION,4.0,5
RTFMS,1000,ORDERING,2.0,1
Sepsis,10000,ORDERING,0.4,5
BPIC2012,100000,ORDERING,10.0,3
RTFMS,1000,MIXED,0.1,3
Sepsis,2000,MIXED,10.0,5
Sepsis,40000,ABSENCE,2.0,2
RTFMS,10000,INSERTION,4.0,1
Sepsis,1000,SUBSTITUTION,0.2,4
RTFMS,4000,MIXED,4.0,1
Sepsis,40000,SUBSTITUTION,4.0,2
Sepsis,4000,INSERTION,2.0,2
RTFMS,4000,SUBSTITUTION,0.1,1
BPIC2012,40000,SUBSTITUTION,4.0,3
BPIC2012,2000,ABSENCE,1.0,4
BPIC2012,1000,INSERTION,0.4,3
Sepsis,2000,INSERTION,10.0,3
RTFMS,40000,ORDERING,1.0,4
RTFMS,20000,ORDERING,1.0,5
BPIC2012,10000,INSERTION,0.1,2
Sepsis,100000,SUBSTITUTION,10.0,3
RTFMS,40000,ABSENCE,2.0,1
RTFMS,2000,INSERTION,1.0,2
Sepsis,10000,ABSENCE,2.0,4
RTFMS,40000,SUBSTITUTION,0.1,2
Sepsis,4000,MIXED,0.1,2
RTFMS,20000,SUBSTITUTION,2.0,3
RTFMS,2000,INSERTION,0.2,2
RTFMS,100000,SUBSTITUTION,4.0,2
BPIC2012,1000,ORDERING,2.0,5
Sepsis,2000,MIXED,4.0,5
Sepsis,100000,ORDERING,4.0,5
Sepsis,40000,SUBSTITUTION,4.0,5
RTFMS,20000,ABSENCE,10.0,1
Sepsis,1000,ORDERING,10.0,3
RTFMS,100000,INSERTION,1.0,4
BPIC2012,20000,ORDERING,1.0,4
BPIC2012,2000,INSERTION,4.0,5
BPIC2012,10000,ORDERING,0.1,1
Sepsis,2000,MIXED,2.0,4
BPIC2012,10000,SUBSTITUTION,10.0,3
Sepsis,4000,MIXED,0.1,1
RTFMS,10000,INSERTION,0.1,1
RTFMS,2000,SUBSTITUTION,2.0,5
RTFMS,100000,SUBSTITUTION,10.0,1
Sepsis,40000,ABSENCE,1.0,4
RTFMS,20000,ORDERING,0.4,5
BPIC2012,10000,MIXED,0.2,5
Sepsis,20000,ORDERING,0.4,3
Sepsis,4000,SUBSTITUTION,1.0,3
RTFMS,2000,ORDERING,10.0,3
BPIC2012,20000,ABSENCE,10.0,2
RTFMS,4000,SUBSTITUTION,0.4,4
BPIC2012,10000,ABSENCE,10.0,1
RTFMS,20000,SUBSTITUTION,4.0,5
BPIC2012,20000,ORDERING,0.1,1
Sepsis,4000,ABSENCE,0.4,3
RTFMS,4000,MIXED,4.0,2
RTFMS,100000,SUBSTITUTION,0.2,2
Sepsis,2000,ABSENCE,10.0,4
Sepsis,1000,ORDERING,1.0,3
Sepsis,4000,ABSENCE,10.0,5
Sepsis,10000,INSERTION,1.0,5
Sepsis,4000,MIXED,1.0,3
RTFMS,100000,ABSENCE,0.4,3
BPIC2012,1000,MIXED,2.0,5
BPIC2012,2000,INSERTION,1.0,5
BPIC2012,4000,ABSENCE,4.0,4
BPIC2012,20000,ORDERING,2.0,1
RTFMS,40000,MIXED,4.0,2
Sepsis,100000,INSERTION,0.4,2
Sepsis,100000,ORDERING,10.0,3
Sepsis,20000,ABSENCE,10.0,5
Sepsis,4000,SUBSTITUTION,1.0,5
BPIC2012,1000,MIXED,0.2,2
BPIC2012,40000,ABSENCE,2.0,4
RTFMS,10000,INSERTION,0.2,4
Sepsis,2000,SUBSTITUTION,10.0,1
Sepsis,10000,INSERTION,0.1,1
RTFMS,40000,MIXED,4.0,5
BPIC2012,20000,ABSENCE,1.0,3
Sepsis,2000,SUBSTITUTION,4.0,2
Sepsis,40000,ABSENCE,2.0,5
BPIC2012,40000,ABSENCE,0.1,1
RTFMS,40000,INSERTION,0.2,5
Sepsis,4000,INSERTION,4.0,2
Sepsis,1000,MIXED,0.4,2
RTFMS,40000,INSERTION,1.0,2
RTFMS,2000,INSERTION,4.0,3
RTFMS,4000,ORDERING,2.0,4
RTFMS,2000,MIXED,0.4,2
Sepsis,1000,MIXED,0.4,3
BPIC2012,20000,INSERTION,4.0,4
RTFMS,20000,ABSENCE,1.0,4
BPIC2012,4000,ORDERING,0.2,2
Sepsis,1000,ORDERING,1.0,1
BPIC2012,2000,INSERTION,0.1,3
RTFMS,100000,MIXED,0.4,4
Sepsis,2000,SUBSTITUTION,1.0,4
RTFMS,40000,MIXED,10.0,2
BPIC2012,100000,ORDERING,0.4,5
Sepsis,40000,MIXED,10.0,5
BPIC2012,20000,SUBSTITUTION,10.0,5
Sepsis,4000,ABSENCE,0.4,4
Sepsis,4000,INSERTION,1.0,3
RTFMS,40000,MIXED,10.0,1
RTFMS,2000,ORDERING,1.0,1
RTFMS,4000,ABSENCE,1.0,1
Sepsis,20000,SUBSTITUTION,1.0,1
RTFMS,20000,ABSENCE,10.0,4
BPIC2012,1000,MIXED,0.1,3
BPIC2012,10000,INSERTION,0.1,3
Sepsis,20000,MIXED,0.2,3
Sepsis,4000,ORDERING,0.2,2
RTFMS,2000,INSERTION,0.2,3
BPIC2012,1000,SUBSTITUTION,0.4,5
RTFMS,2000,MIXED,2.0,1
BPIC2012,4000,ABSENCE,2.0,4
RTFMS,2000,ABSENCE,0.4,4
BPIC2012,1000,MIXED,4.0,2
BPIC2012,10000,MIXED,0.2,2
BPIC2012,1000,INSERTION,0.1,4
Sepsis,20000,ABSENCE,2.0,2
BPIC2012,1000,SUBSTITUTION,1.0,5
Sepsis,10000,ABSENCE,4.0,5
Sepsis,40000,ORDERING,0.4,4
RTFMS,10000,SUBSTITUTION,0.2,2
Sepsis,1000,MIXED,0.4,1
RTFMS,4000,INSERTION,0.1,4
RTFMS,20000,MIXED,0.2,1
RTFMS,10000,MIXED,2.0,3
BPIC2012,4000,MIXED,10.0,2
Sepsis,100000,ORDERING,0.1,4
RTFMS,20000,ORDERING,1.0,1
BPIC2012,100000,SUBSTITUTION,1.0,2
RTFMS,10000,INSERTION,1.0,5
Sepsis,2000,MIXED,10.0,1
RTFMS,20000,SUBSTITUTION,2.0,5
BPIC2012,10000,SUBSTITUTION,4.0,2
RTFMS,1000,SUBSTITUTION,4.0,1
BPIC2012,10000,INSERTION,0.1,4
Sepsis,4000,INSERTION,1.0,1
RTFMS,1000,ABSENCE,0.1,4
RTFMS,4000,INSERTION,0.2,3
RTFMS,4000,SUBSTITUTION,0.2,2
Sepsis,10000,SUBSTITUTION,10.0,1
BPIC2012,40000,ABSENCE,0.1,4
RTFMS,4000,ORDERING,1.0,4
Sepsis,20000,ORDERING,1.0,1
RTFMS,1000,ABSENCE,10.0,2
RTFMS,20000,MIXED,0.2,2
RTFMS,20000,INSERTION,0.2,1
Sepsis,10000,INSERTION,10.0,1
Sepsis,100000,ABSENCE,0.4,1
Sepsis,2000,SUBSTITUTION,1.0,1
RTFMS,2000,SUBSTITUTION,2.0,2
RTFMS,100000,SUBSTITUTION,0.2,1
RTFMS,2000,MIXED,10.0,1
RTFMS,10000,INSERTION,2.0,5
RTFMS,10000,INSERTION,4.0,5
BPIC2012,20000,INSERTION,0.2,4
RTFMS,100000,ORDERING,10.0,2
Sepsis,1000,MIXED,2.0,4
